OTUID,V92S41260,SSLF1563,SLS31664,SFR2044,V57VSLS520,VSLS52145,SSL2246,SL529,Soil72,SOIL72,SOIL82,S4WOOD,SOIL4,SOIL4FRASS,SOILA,SOILVELVET,SWOODSPIDER,V88soil,SLSU856,SLS4957
4aeb989adb4942487fe7f5b71c82e4e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6e6fcffc384114e127c3cb39ec7a4e32,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
5b2fe1f9cdedd31f7cbc806638f053ea,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
d7692f3270a354a1820de7812f4cbdb9,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
5e92873d2780edc3e510397a869dde72,0,0,0,0,0,0,0,0,92,17,74,894,180,70,1250,0,17,357,0,0
41821d1b7d7bf667997b9002ce606b74,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0
da7007a08da8ec611f82657eaa90efa7,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
8749d4b15fa14fea1bdede8b4d58c2b2,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0
c00c283c66a4a3771bd5a8d9451b15d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
fc3c64289b1a36c68cdbb6703f95647d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24a5abfcb70ec4bf8146bdd528e0c44f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0
76214d32a177fb556644758d77d15163,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02d5eac1ade7e77a2770a88f7689fca6,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
c3a7c07c8e3778196e040b4c78abfa58,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,23,0,0,0
2ebcc3f184aef34963e7e3c229eb63ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44c5c1ccb5df502c9467eaa07063bfa8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b76032c6379a786ab48d8d72c829894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f882dc6eb399b5ac225b0dfa2c364879,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,72,0,0,0
3cd552a332af885cce211b634c587570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56eccaa3ecebb337ecef7ee1c6aeb23e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8e349c3cf4cf638d3da1ee003fde99c5,0,0,1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
da872b08fef7601e808b861c320caffc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
6d54ed7cb84579ac670d39a2daaa012c,0,0,0,0,0,0,0,0,0,0,0,27,87,0,0,0,0,0,0,0
789c8f07ff70b87dd2918aa03a972885,0,0,0,0,0,0,0,0,0,0,0,229,0,0,86,0,0,19,0,0
f54fcf233aad7d2f3f40671a8ce09162,0,0,0,0,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4624749c61e779f6053b635e77a3b779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1ff4bf15b343f151dd793f92ad2457bc,0,0,0,0,0,0,0,0,11,0,0,5583,0,0,0,0,331,0,0,0
c41a298d93e92507dfc94d7f57ab04de,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0
7004bbd614d904b9aaa085e542242141,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0
1596ef146eca802d8adc71723acc5657,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
0c9bb05d65d476b68f57b253e5ffc068,0,0,0,0,0,0,0,0,0,0,0,12,0,0,91,0,0,0,0,0
bc9c85c7c25a98eabf0f23e2765f622b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d2c2f3c857af4eeecb70aa0d9020cb1d,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
d875ffc7eef79192fa4c615638a9321d,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894ee3e19ded4d1b064cd302929dfe38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
45bb6d47050304bec101358f65ecf59f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0
8a87ab09b528cc739baff1db51254ae4,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,30,0,0,0
5aeab1e8098015566a7a752334073901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
1c4606d51c4556e8201bba3ecf0e05bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
ff511ac5bb076d51b347976e4a49b225,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0
35db2e8e6f10cfd7dd91649bfe7500ff,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0
