Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
94c9e882ae919a52d301ed1698026e87,Bacteria,WPS-2,,,,,
843014dd36cfbe5e19e1abf011f19a64,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
cf19945261936e1e98c14235c671f739,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
7451eb57965e09acdc89c5c5bca1670b,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
e8d16f74ec0b000d202bd961f11dcbac,Bacteria,Verrucomicrobia,[Methylacidiphilae],Methylacidiphilales,,,
e27fc3c3c0a43cb6b0801a90db3d51b6,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
d56e3a057be1313a7e23f37b3889261d,Bacteria,WPS-2,,,,,
4560447d733cf3fe85b372a2f2ab8a28,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
524a578c3c336573069d145cb9376a3d,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
471b8559ca336cdfc2aa11c4d48630c8,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],auto67_4W,,
447f8a973433df093e1ff408993f0156,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
7b7472ced4ecece41fd0a937d2043948,Archaea,Crenarchaeota,MBGA,NRP-J,,,
2e79eedabaf27726b9baf72aa5391d70,Bacteria,Cyanobacteria,4C0d-2,MLE1-12,,,
62ecdc536f8f54273d52f6b70fd55498,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
b0c6ae4f741d041f33d6ed97172f1442,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,,
1eee2f8800bd875d5ea89d0c075df3f2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
b8b563083cce01d5ef09a69a3bc79fca,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
6559f412963b91398a13735cf81bf88f,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
3791323b57b775a955dd2f6581bb59d7,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
b560bbd367b8d9903e6c6313ee044e73,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
